[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Classes> com.integrated.edu.data.web.SchoolController.claGet(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.School> com.integrated.edu.data.web.SchoolController.schGet(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.schDel(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.claDel(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.schUpd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.School)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.dto.SchoolDTO>> com.integrated.edu.data.web.SchoolController.schList(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.schAdd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.School)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_func_bind],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.schFuncBind(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_tch_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.ClassesTeacher>> com.integrated.edu.data.web.SchoolController.claTchGet(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.grdUpd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Grade)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/room_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.BuildingRoom>> com.integrated.edu.data.web.SchoolController.roomList(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.BuildingRoom)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.grdDel(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_hids_by_said],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.String> com.integrated.edu.data.web.SchoolController.schHidsBySaId(java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_tch_bind],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.claTchBind(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.claAdd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Classes)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.SchoolController.schPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_batch_add_save],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.claBatchAddSave(com.integrated.edu.comm.Ui,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Grade>> com.integrated.edu.data.web.SchoolController.grdList(com.integrated.edu.comm.Ui,java.lang.String,java.lang.Boolean)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_batch_add_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.dto.GradeDTO>> com.integrated.edu.data.web.SchoolController.claBatchAddList(com.integrated.edu.comm.Ui,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/room_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.SchoolController.roomPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.SchoolController.claPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Grade> com.integrated.edu.data.web.SchoolController.grdGet(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.grdAdd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Grade)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_up],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.grdUp(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,boolean)
